osli_id,date_start,date_end,vertical,order_number,order_signed_date,active,order_effective_date,order_end_date,authorized_by_name,owner_name,osli_number,console_product_name,order_product_number,order_product_name,company_uuid,company_name,product_uuid,monetisation_type,sov_percentage,CPC_price,CPA_price,CPAA_price,CPL_price,number_of_cpa,number_of_cpaa,number_of_cpl,actual_clicks,billed_clicks,excess_clicks,capped,budget,budget_consumption,gross_revenue,agency_name,agency_percentage,agency_commission,product_url,p_unit,p_cpa,p_cpaa,p_cpl,updated_at,datetime
a0a28000005XAfQAAW,2017-08-09,2017-08-31,car loans,1979,2017-08-09,True,2017-07-01,2017-08-31,James Newcomb,Andrew Wilkins,OSLI-15693,New Car Loan Package,4363,Ratetable Car Loans CPC,36767f46-a3c0-4488-abeb-858cb6251e19,bcu,d2b24a35-4a1f-4c4e-82ee-a7d1498dfd5b,CPC,,10.0,,,,0.0,0.0,0.0,94.0,94.0,,True,1000.0,94.0,940.0,,,0.0,https://www.bcu.com.au/car-loan-special-ratecity,10.0,10.0,,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005XB7NAAW,2017-08-09,2017-08-31,home loans,1982,,True,2017-08-09,2017-08-31,Andrew Wilkins,Andrew Wilkins,OSLI-15839,Basic Home Loan (Principal and Interest) (New Customer),4388,Ratetable Home Loans CPA,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,2159908d-af8c-4939-a939-250ab32716fd,CPA,,,1150.0,,,0.0,0.0,0.0,3.0,,,False,,0.0,0.0,,,0.0,https://www.ratecity.com.au/home-loans/bank-of-melbourne/negotiated-basic-variable.basic?b_slug=aussie,1150.0,1150.0,,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005XB7OAAW,2017-08-09,2017-08-31,home loans,1982,,True,2017-08-09,2017-08-31,Andrew Wilkins,Andrew Wilkins,OSLI-15840,Advantage Package Portfolio Loan (New Customer) ($250k-$500k),4388,Ratetable Home Loans CPA,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,6954bb41-2892-4449-a726-07bdc6e4c0fd,CPA,,,1150.0,,,0.0,0.0,0.0,2.0,,,False,,0.0,0.0,,,0.0,https://www.ratecity.com.au/home-loans/bank-of-melbourne/advantage-package-variable-250-499k.basic?b_slug=aussie,1150.0,1150.0,,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005XB7PAAW,2017-08-09,2017-08-31,home loans,1982,,True,2017-08-09,2017-08-31,Andrew Wilkins,Andrew Wilkins,OSLI-15841,Standard Variable Home Loan (Principal and Interest),4388,Ratetable Home Loans CPA,a7c45e24-cd8c-4995-a23e-054463dfaf3a,Bank of Melbourne,03a48949-4e4f-48c2-8ddc-c3d04dfd9ce1,CPA,,,1150.0,,,0.0,0.0,0.0,1.0,,,False,,0.0,0.0,,,0.0,https://www.ratecity.com.au/home-loans/bank-of-melbourne/variable.basic?b_slug=aussie,1150.0,1150.0,,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCTyAAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13806,Rewards Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,4b638b64-63e6-4d6b-bb65-fad1b630e734,CPA/CPAA,,,55.0,135.0,,1.0,7.0,0.0,380.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/307151296;134548839;o,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCTzAAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13807,Rewards Platinum Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,e14f8e69-ac35-4c81-8ce1-b89435934cbf,CPA/CPAA,,,55.0,135.0,,0.0,0.0,0.0,78.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/401978865;202127351;g,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCU0AAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13808,No Annual Fee Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,8965e015-ad54-41f5-b848-6bec2ec9d67f,CPA/CPAA,,,55.0,135.0,,30.0,17.0,0.0,1185.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/307156712;134545892;i,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCU1AAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13809,Low Rate Platinum Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,852b1b60-d367-4dca-b626-28586f62d990,CPA/CPAA,,,55.0,135.0,,3.0,4.0,0.0,162.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/401979363;202127345;d,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCU2AAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13810,No Annual Fee Platinum Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,22e53c8e-62b9-4f47-a378-432320b992c2,CPA/CPAA,,,55.0,135.0,,1.0,7.0,0.0,264.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/401966677;202127348;k,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
a0a28000005UCU3AAO,2017-08-01,2017-08-31,credit cards,1845,2017-09-12,True,2017-07-01,2017-09-30,Emma Reeves,Elli Mcdougall,OSLI-13811,Low Rate Mastercard,4084,Ratetable Credit Cards CPA/CPAA,10a37ae0-6356-474c-8239-77b9c4e03573,Coles,811cb141-e086-447a-a3c9-e834d7d657bc,CPA/CPAA,,,55.0,135.0,,40.0,14.0,0.0,1244.0,,,True,12000.0,89.5,10740.0,OMD,10.0,1074.0,https://ad.doubleclick.net/ddm/clk/307152285;134545893;k,135.0,55.0,135.0,,2017-11-01 02:39:45,2017-11-01 02:39:45
